"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2003","92.730","92.710","93.000","92.500","1.64K","0.03%"
"Oct 01, 2003","92.700","93.110","93.120","92.660","1.55K","-0.54%"
"Sep 30, 2003","93.200","93.260","93.610","92.430","5.91K","-0.26%"
"Sep 29, 2003","93.440","94.240","94.680","93.320","1.72K","-0.86%"
"Sep 26, 2003","94.250","94.190","94.420","94.000","2.03K","0.12%"
"Sep 25, 2003","94.140","94.110","94.230","93.720","1.50K","0.07%"
"Sep 24, 2003","94.070","94.540","94.550","94.000","1.68K","-0.29%"
"Sep 23, 2003","94.340","94.400","94.450","93.850","1.23K","0.14%"
"Sep 22, 2003","94.210","94.150","94.730","94.050","3.13K","-1.19%"
"Sep 19, 2003","95.340","96.250","96.300","95.130","2.52K","-1.01%"
"Sep 18, 2003","96.310","96.280","96.450","95.600","3.26K","0.18%"
"Sep 17, 2003","96.140","97.060","97.240","96.120","2.38K","-1.01%"
"Sep 16, 2003","97.120","96.480","97.190","96.350","2.51K","0.30%"
"Sep 15, 2003","96.830","96.130","96.220","96.010","2.95K","0.83%"
"Sep 12, 2003","96.030","96.580","96.790","95.820","0.21K","-0.55%"
"Sep 11, 2003","96.560","96.570","96.900","96.220","0.76K","0.05%"
"Sep 10, 2003","96.510","96.420","96.820","96.410","0.67K","0.08%"
"Sep 09, 2003","96.430","97.340","97.380","96.210","2.41K","-0.79%"
"Sep 08, 2003","97.200","97.210","97.540","96.930","3.41K","0.07%"
"Sep 05, 2003","97.130","98.200","98.330","97.070","3.00K","-1.16%"
"Sep 04, 2003","98.270","98.900","99.100","98.230","1.05K","-0.55%"
"Sep 03, 2003","98.810","99.070","99.400","98.570","0.91K","-0.25%"
"Sep 02, 2003","99.060","98.200","99.110","98.180","1.05K","1.00%"
"Sep 01, 2003","98.080","98.080","98.100","97.960","0.09K","-0.02%"
"Aug 29, 2003","98.100","98.740","98.810","97.920","0.84K","-0.85%"
"Aug 28, 2003","98.940","99.010","99.360","98.630","0.49K","-0.05%"
"Aug 27, 2003","98.990","99.040","99.120","98.630","0.50K","0.15%"
"Aug 26, 2003","98.840","99.270","99.570","98.690","1.07K","-0.09%"
"Aug 25, 2003","98.930","99.070","99.200","98.680","0.58K","-0.07%"
"Aug 22, 2003","99.000","98.700","99.400","98.630","3.43K","0.30%"
"Aug 21, 2003","98.700","97.500","98.970","97.590","1.50K","1.22%"
"Aug 20, 2003","97.510","97.490","97.760","97.350","0.78K","0.03%"
"Aug 19, 2003","97.480","97.510","98.200","97.400","1.56K","0.03%"
"Aug 18, 2003","97.450","96.710","97.650","96.710","0.92K","0.67%"
"Aug 15, 2003","96.800","96.670","96.820","96.670","0.21K","-0.02%"
"Aug 14, 2003","96.820","96.270","96.960","96.180","0.73K","0.49%"
"Aug 13, 2003","96.350","96.560","96.970","96.200","0.51K","0.01%"
"Aug 12, 2003","96.340","95.980","96.500","95.970","0.47K","0.38%"
"Aug 11, 2003","95.980","96.540","96.700","95.820","0.69K","-0.61%"
"Aug 08, 2003","96.570","95.930","96.580","95.930","0.91K","0.64%"
"Aug 07, 2003","95.960","96.380","96.450","95.670","0.98K","-0.48%"
"Aug 06, 2003","96.420","95.990","96.580","95.810","1.17K","0.05%"
"Aug 05, 2003","96.370","96.330","96.680","96.240","0.54K","0.01%"
"Aug 04, 2003","96.360","96.700","96.850","96.210","0.58K","-0.53%"
"Aug 01, 2003","96.870","97.030","97.720","96.700","1.06K","-0.28%"
"Jul 31, 2003","97.140","96.310","97.260","96.320","1.56K","0.87%"
"Jul 30, 2003","96.300","95.700","96.420","95.590","1.56K","0.84%"
"Jul 29, 2003","95.500","95.390","95.600","95.000","0.64K","0.23%"
"Jul 28, 2003","95.280","95.180","95.580","95.120","0.82K","0.17%"
"Jul 25, 2003","95.120","95.510","95.640","94.830","1.92K","-0.49%"
"Jul 24, 2003","95.590","95.460","95.870","95.350","0.93K","-0.01%"
"Jul 23, 2003","95.600","96.620","96.620","95.400","3.44K","-1.11%"
