Date,Open,High,Low,Close,Adj Close,Volume
28-03-2018,689.01001,691.799988,683.52002,688.630005,688.630005,760900
29-03-2018,690.309998,695.619995,690.22998,692.630005,692.630005,683600
02-04-2018,694.289978,696.619995,682.099976,686.97998,686.97998,644600
03-04-2018,686.799988,692.119995,683.75,689.01001,689.01001,524600
04-04-2018,687.960022,692.429993,683.450012,690.650024,690.650024,575100
05-04-2018,690.849976,698.400024,683.27002,696.429993,696.429993,484100
06-04-2018,696.76001,699.090027,689.919983,691.590027,691.590027,544400
09-04-2018,691.869995,697.210022,689.289978,692.289978,692.289978,457800
10-04-2018,692.539978,693.530029,686.169983,687.789978,687.789978,500700
11-04-2018,687.140015,689.320007,684.200012,686.679993,686.679993,397400
12-04-2018,686.909973,688.26001,676.539978,678.159973,678.159973,554400
13-04-2018,680.26001,686.049988,680.26001,682.780029,682.780029,468600
16-04-2018,685.690002,693,685.52002,692.359985,692.359985,499200
17-04-2018,693.190002,702.429993,691.469971,700.23999,700.23999,500700
18-04-2018,701.659973,707.030029,697.76001,697.820007,697.820007,418600
19-04-2018,697.289978,698.929993,692.059998,697.099976,697.099976,432200
20-04-2018,697.309998,698.049988,689.099976,691.140015,691.140015,476500
23-04-2018,691.349976,694.929993,688.469971,691.340027,691.340027,528600
24-04-2018,693.099976,700.5,689.969971,695.409973,695.409973,692400
25-04-2018,693.890015,697.609985,690.109985,694.929993,694.929993,536200
26-04-2018,695.469971,702.909973,692.419983,702.299988,702.299988,509300
27-04-2018,700.909973,710.98999,699.919983,708.679993,708.679993,511200
30-04-2018,709.76001,711.849976,706.130005,707.01001,707.01001,544800
01-05-2018,706.73999,707.809998,703.47998,705.22998,705.22998,587100
02-05-2018,704.26001,707.059998,701.27002,703.590027,703.590027,604500
03-05-2018,702.679993,703.909973,693.440002,700.940002,700.940002,573000
04-05-2018,700.799988,707.23999,700.580017,704.380005,704.380005,452100
07-05-2018,704.820007,705.710022,699.440002,700.340027,700.340027,586200
08-05-2018,698.030029,698.030029,682.619995,683.77002,683.77002,804000
09-05-2018,684.609985,684.609985,676.25,678.619995,678.619995,561500
10-05-2018,681.909973,688.179993,680.650024,687.880005,687.880005,453600
11-05-2018,688.330017,690.859985,686,689.48999,689.48999,367600
14-05-2018,689.679993,691.169983,683.570007,686.590027,686.590027,462600
15-05-2018,683.72998,684.75,676.789978,680.169983,680.169983,551400
16-05-2018,680.159973,680.650024,671.650024,674.049988,674.049988,519200
17-05-2018,674.01001,675.669983,667.200012,668.559998,668.559998,518400
18-05-2018,668.880005,671.969971,662.809998,667.789978,667.789978,541200
21-05-2018,668.859985,674.409973,666.890015,672.859985,672.859985,505000
22-05-2018,672.52002,678.77002,672.450012,674.719971,674.719971,423600
23-05-2018,675.049988,681.549988,675.049988,680.679993,680.679993,508200
24-05-2018,680.619995,686.02002,678.909973,685.619995,685.619995,440500
25-05-2018,686.109985,691.099976,685.690002,689.669983,689.669983,373100
29-05-2018,688.210022,694.590027,684.98999,690.070007,690.070007,563000
30-05-2018,689.340027,696.369995,686.919983,694.669983,694.669983,578600
31-05-2018,693.659973,699.700012,689.549988,695.210022,695.210022,670200
01-06-2018,695.200012,695.200012,681.289978,684.73999,684.73999,506800
04-06-2018,686.039978,688.76001,678.72998,679.450012,679.450012,491600
05-06-2018,679.130005,680.75,672.429993,674.460022,674.460022,558000
06-06-2018,674.969971,676.039978,659.22998,660.539978,660.539978,549900
07-06-2018,660.369995,670.409973,658.830017,664.090027,664.090027,503100
08-06-2018,664.669983,666.609985,661.530029,663.960022,663.960022,425300
11-06-2018,664.01001,664.01001,655.52002,656.929993,656.929993,568900
12-06-2018,656.900024,666.299988,656.630005,665.650024,665.650024,634600
13-06-2018,665.940002,670.619995,662.080017,664.599976,664.599976,628900
14-06-2018,665.380005,674.619995,664.330017,673.299988,673.299988,597200
15-06-2018,673.01001,678.859985,666.710022,678.309998,678.309998,992200
18-06-2018,677.809998,682.549988,677.01001,680.559998,680.559998,494400
19-06-2018,681.619995,689.400024,681.330017,687.960022,687.960022,622600
20-06-2018,688.820007,690.289978,685.929993,688.380005,688.380005,479500
21-06-2018,688.140015,694.099976,686.789978,690.619995,690.619995,524300
22-06-2018,690.869995,697.929993,689.75,696.599976,696.599976,701500
25-06-2018,697.47998,709.190002,697.450012,707.869995,707.869995,594400
26-06-2018,706.48999,712.950012,705.570007,707.940002,707.940002,656400
27-06-2018,708.02002,714.080017,706.27002,712.51001,712.51001,512200
28-06-2018,713.599976,719.039978,711.159973,712.099976,712.099976,560400
29-06-2018,711.809998,715.159973,706.929993,711.640015,711.640015,543200
02-07-2018,712.419983,717.969971,709.419983,717.640015,717.640015,488700
03-07-2018,717.049988,723.440002,714.549988,719.440002,719.440002,340100
05-07-2018,719.960022,723.609985,717.049988,723.530029,723.530029,508000
06-07-2018,723.559998,731.26001,723.23999,729.369995,729.369995,423100
09-07-2018,729.25,729.25,704.530029,706.929993,706.929993,617500
10-07-2018,703.75,717.390015,700.090027,713.75,713.75,637100
11-07-2018,714.599976,721.97998,714.599976,720.559998,720.559998,496400
12-07-2018,721.049988,722.26001,717.380005,720.880005,720.880005,536400
13-07-2018,721.51001,723.630005,716.539978,721.869995,721.869995,379900
16-07-2018,721.77002,722.830017,717.609985,721.049988,721.049988,404400
